algorithm,CUT,criterion,Size,Length,MutationScore,Coverage,Covered_Goals,Total_Goals,Total_Time,BranchCoverage,BZUTestExecutionTime
M_IBEA,gnu.trove.decorator.TShortByteMapDecorator,BRANCH;BZU_TIME;BZU_LENGTH,20,84,0.47107438,0.909090909,58,79,605198,0.727272727,12
M_IBEA,gnu.trove.impl.hash.TCharHash,BRANCH;BZU_TIME;BZU_LENGTH,16,88,0.39281943,0.983333333,59,62,618699,0.95,5
M_IBEA,gnu.trove.impl.hash.TFloatCharHash,BRANCH;BZU_TIME;BZU_LENGTH,16,81,0.298045603,0.888888889,60,89,611352,0.666666667,3
M_IBEA,gnu.trove.impl.hash.TFloatDoubleHash,BRANCH;BZU_TIME;BZU_LENGTH,18,100,0.270511779,0.888888889,60,89,616743,0.666666667,9
M_IBEA,org.znerd.xmlenc.XMLChecker,BRANCH;BZU_TIME;BZU_LENGTH,24,55,0.123825318,0.782632591,423,1215,615862,0.347073372,7
M_IBEA,org.znerd.xmlenc.XMLEncoder,BRANCH;BZU_TIME;BZU_LENGTH,47,140,0.591016548,0.97985348,173,184,607706,0.93956044,4
M_IBEA,com.ib.client.ExecutionFilter,BRANCH;BZU_TIME;BZU_LENGTH,10,35,0.394285714,1,22,22,7285,1,2
M_IBEA,com.ib.client.OrderState,BRANCH;BZU_TIME;BZU_LENGTH,10,31,0.511111111,1,24,24,6236,1,1
M_IBEA,com.ib.client.ComboLeg,BRANCH;BZU_TIME;BZU_LENGTH,9,31,0.661616162,1,22,23,7444,1,4
M_IBEA,org.apache.commons.cli.HelpFormatter,BRANCH;BZU_TIME;BZU_LENGTH,31,101,0.167227834,0.979166667,137,146,694232,0.9375,93
M_IBEA,org.apache.commons.cli.Option,BRANCH;BZU_TIME;BZU_LENGTH,46,113,0.71541502,1,100,100,39338,1,1
M_IBEA,org.apache.commons.collections4.list.TreeList,BRANCH;BZU_TIME;BZU_LENGTH,26,138,0.352839931,0.9847793,211,221,615778,0.9543379,18
M_IBEA,org.apache.commons.collections4.sequence.SequencesComparator,BRANCH;BZU_TIME;BZU_LENGTH,5,55,0.323170732,0.988764045,88,91,612313,0.966292135,8
M_IBEA,org.apache.commons.lang3.ClassUtils,BRANCH;BZU_TIME;BZU_LENGTH,80,168,0.542536116,0.936090226,217,268,613750,0.808270677,8
M_IBEA,org.apache.commons.lang3.ArrayUtils,BRANCH;BZU_TIME;BZU_LENGTH,308,662,0.532492726,0.934651763,940,1165,646908,0.806534824,19
M_IBEA,org.apache.commons.lang3.text.StrBuilder,BRANCH;BZU_TIME;BZU_LENGTH,242,698,0.371801567,0.991511036,576,591,665197,0.974533107,47
M_IBEA,org.apache.commons.lang3.time.DateUtils,BRANCH;BZU_TIME;BZU_LENGTH,107,266,0.452885318,0.993288591,294,300,682887,0.979865772,13
M_IBEA,org.apache.commons.lang3.BooleanUtils,BRANCH;BZU_TIME;BZU_LENGTH,117,182,0.67032967,0.969811321,244,267,614055,0.913207547,9
M_IBEA,org.apache.commons.lang3.Conversion,BRANCH;BZU_TIME;BZU_LENGTH,221,439,0.204247238,0.930191972,604,766,641770,0.787958115,10
M_IBEA,org.apache.commons.math3.linear.RectangularCholeskyDecomposition,BRANCH;BZU_TIME;BZU_LENGTH,7,40,0.477987421,1,33,33,9473,1,4
M_IBEA,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,BRANCH;BZU_TIME;BZU_LENGTH,26,139,0.211886305,0.966666667,74,82,617441,0.9,17
M_IBEA,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.AbstractSimplex,BRANCH;BZU_TIME;BZU_LENGTH,17,101,0.250712251,0.994350282,60,61,610288,0.983050847,19
M_IBEA,org.apache.commons.math3.linear.MatrixUtils,BRANCH;BZU_TIME;BZU_LENGTH,60,197,0.209459459,0.974842767,149,161,652820,0.924528302,142
M_IBEA,org.apache.commons.math3.dfp.DfpDec,BRANCH;BZU_TIME;BZU_LENGTH,9,12,0,0.685990338,10,140,603232,0.057971014,8
M_IBEA,org.apache.commons.math3.distribution.fitting.MultivariateNormalMixtureExpectationMaximization,BRANCH;BZU_TIME;BZU_LENGTH,12,43,0.292253521,0.833333333,35,68,607906,0.5,2
M_IBEA,org.apache.commons.math3.analysis.FunctionUtils,BRANCH;BZU_TIME;BZU_LENGTH,12,24,0.218518519,0.730360934,32,159,607547,0.191082803,4
M_IBEA,org.apache.commons.math3.optim.univariate.BrentOptimizer,BRANCH;BZU_TIME;BZU_LENGTH,4,8,0.027173913,0.697777778,9,77,602940,0.093333333,228
M_IBEA,org.apache.commons.math3.linear.SchurTransformer,BRANCH;BZU_TIME;BZU_LENGTH,6,25,0.141666667,0.862318841,56,94,610317,0.586956522,26
M_IBEA,com.google.common.math.BigIntegerMath,BRANCH;BZU_TIME;BZU_LENGTH,35,105,0.529345372,0.967418546,122,135,637294,0.902255639,98
M_IBEA,com.google.common.cache.CacheBuilderSpec,BRANCH;BZU_TIME;BZU_LENGTH,51,202,0.355498721,0.98108747,135,143,617100,0.943262411,8
M_IBEA,com.google.common.util.concurrent.Monitor,BRANCH;BZU_TIME;BZU_LENGTH,12,31,0.010204082,0.701570681,22,193,607249,0.104712042,3
M_IBEA,com.google.common.base.Utf8,BRANCH;BZU_TIME;BZU_LENGTH,19,70,0.358803987,0.936507937,53,65,605723,0.80952381,5
M_IBEA,org.jdom2.output.SAXOutputter,BRANCH;BZU_TIME;BZU_LENGTH,52,228,0.546391753,0.992592593,90,92,613270,0.977777778,13
M_IBEA,org.jdom2.output.XMLOutputter,BRANCH;BZU_TIME;BZU_LENGTH,30,117,0.823529412,0.983870968,61,64,609826,0.951612903,16
M_IBEA,org.jdom2.Verifier,BRANCH;BZU_TIME;BZU_LENGTH,81,141,0.469358327,0.949458484,237,279,618775,0.848375451,8
M_IBEA,org.joda.time.format.PeriodFormatterBuilder,BRANCH;BZU_TIME;BZU_LENGTH,100,617,0.390595611,0.942429476,480,581,657861,0.825561313,34
